phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action,internal
"after","https://kujo.robertdevore.com/course/data-and-persistence/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/data-and-persistence/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/capability-security/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/capability-security/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/NATIVE_API_SECURITY_POSTURE.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/NATIVE_API_SECURITY_POSTURE.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/capability-security/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/capability-security/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/secret-boundaries/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/secret-boundaries/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/NATIVE_API_SECURITY_POSTURE.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/NATIVE_API_SECURITY_POSTURE.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/secret-boundaries/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/secret-boundaries/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/ai-effects-and-messages/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/ai-effects-and-messages/","https://simonwillison.net/2025/Jun/16/the-lethal-trifecta/","Simon Willison’s analysis","HTML anchor","200","https://simonwillison.net/2025/Jun/16/the-lethal-trifecta/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/ai-effects-and-messages/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/AI_RUNTIME.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/AI_RUNTIME.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/ai-effects-and-messages/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/ai-effects-and-messages/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/request-identity/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
