phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action,internal
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/bounded-concurrency/","14 Spawn and bounded concurrent work","HTML anchor","200","https://kujo.robertdevore.com/course/bounded-concurrency/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/build-2/","◆ Build 2 · Put it to work →","HTML anchor","200","https://kujo.robertdevore.com/build-2/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/modules/","15 Modules and explicit exports","HTML anchor","200","https://kujo.robertdevore.com/course/modules/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/projects-and-lockfiles/","16 Projects, packages, and lockfiles","HTML anchor","200","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/standard-library/","17 Finding the standard library contract","HTML anchor","200","https://kujo.robertdevore.com/course/standard-library/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/testing/","18 Testing, fixtures, and runtime evidence","HTML anchor","200","https://kujo.robertdevore.com/course/testing/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/machine-contracts/","19 Diagnostics and machine-readable interfaces","HTML anchor","200","https://kujo.robertdevore.com/course/machine-contracts/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/documentation/","20 Documentation as a build artifact","HTML anchor","200","https://kujo.robertdevore.com/course/documentation/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/editor-and-lsp/","21 Editor integration and the LSP boundary","HTML anchor","200","https://kujo.robertdevore.com/course/editor-and-lsp/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/build-3/","◆ Build 3 · Put it to work →","HTML anchor","200","https://kujo.robertdevore.com/build-3/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/filesystem/","22 Filesystem automation with bounded paths","HTML anchor","200","https://kujo.robertdevore.com/course/filesystem/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/processes/","23 Processes without unnecessary shells","HTML anchor","200","https://kujo.robertdevore.com/course/processes/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/http-and-networking/","24 HTTP and network boundaries","HTML anchor","200","https://kujo.robertdevore.com/course/http-and-networking/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/data-and-persistence/","25 Structured data and local persistence","HTML anchor","200","https://kujo.robertdevore.com/course/data-and-persistence/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/capability-security/","26 Trusted execution and minimum authority","HTML anchor","200","https://kujo.robertdevore.com/course/capability-security/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/secret-boundaries/","27 Secrets, redaction, and endpoint policy","HTML anchor","200","https://kujo.robertdevore.com/course/secret-boundaries/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/build-4/","◆ Build 4 · Put it to work →","HTML anchor","200","https://kujo.robertdevore.com/build-4/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/ai-effects-and-messages/","28 AI effects and portable messages","HTML anchor","200","https://kujo.robertdevore.com/course/ai-effects-and-messages/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/request-identity/","29 Deterministic request identity","HTML anchor","200","https://kujo.robertdevore.com/course/request-identity/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/record-and-replay/","30 Record, replay, and offline evidence","HTML anchor","200","https://kujo.robertdevore.com/course/record-and-replay/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/streaming/","31 Streaming and cancellation","HTML anchor","200","https://kujo.robertdevore.com/course/streaming/","","reachable","","retain","true"
